Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2741.516	60.60373	2786.478	2625.7822	1000.0	0.019055923	0.014624161	0.061858814	-0.010109721	5000	-1.1806488e-07	62069.836	-0.021056103	-4759.461	18.315672	0.013633252	0.136	79.0	371.50805854797363
1	2771.7144	61.088024	2877.474	2694.6628	1000.0	10.08295	1.5465615	15.367935	7.437485	10000	-1.2817382e-07	59125.426	-0.025387242	-31968.678	18.3407	0.013343976	0.1458	79.0	748.6275019645691
2	2778.371	37.304512	2829.908	2726.06	1000.0	92.70083	13.617981	138.55615	64.208534	15000	-1.3713837e-07	26529.688	-0.01943576	-22726.943	18.425312	0.009035163	0.1206	79.0	1087.0796205997467
3	2760.0544	24.595083	2787.65	2720.773	1000.0	220.1045	40.126114	345.76505	103.10414	20000	-5.531311e-09	3633.6892	-0.023100791	-574.48193	18.506157	0.009920592	0.139	79.0	1425.0127136707306
4	2788.3618	36.557205	2857.1045	2755.824	1000.0	233.7269	46.040222	392.13748	94.005844	25000	5.722046e-10	3299.453	-0.02660323	-213.76001	18.508076	0.0073788916	0.1446	79.0	1767.257742881775
5	2705.2908	33.434345	2747.6934	2651.3948	1000.0	252.63547	44.706333	393.75403	159.84009	30000	1.3542175e-08	3971.8232	-0.011328453	-558.32324	18.49071	0.016163368	0.167	11.0	2137.612289428711
6	2768.9526	56.131237	2867.3286	2703.3247	1000.0	236.45175	34.72071	352.1985	152.3823	35000	6.866455e-09	3100.1526	-0.025604228	-166.82227	18.439388	0.011440738	0.154	79.0	2515.22016787529
7	2783.0083	93.606575	2897.0117	2613.7288	1000.0	243.45772	35.496708	367.8584	153.3713	40000	8.392334e-09	3165.366	-0.02157758	-118.795166	18.408178	0.011771424	0.148	79.0	2742.9841446876526
8	2797.222	76.897995	2873.0972	2663.8052	1000.0	241.3843	32.82065	356.67242	157.28777	45000	-1.3923645e-08	2963.6638	-0.024886366	-132.78003	18.427946	0.0136592975	0.1932	79.0	2910.0191311836243
9	2772.906	60.974506	2866.4622	2686.9446	1000.0	254.4879	28.09389	346.0261	184.63495	50000	0.0	3176.1836	-0.0102218175	-278.1162	18.462934	0.017617801	0.202	9.0	3074.129622220993
10	2744.3247	49.224537	2799.6025	2652.7754	1000.0	240.52464	26.493486	327.26233	182.64616	55000	1.27792354e-08	2808.9055	-0.026040882	-77.00464	18.455954	0.014121222	0.1752	79.0	3328.846774339676
11	2713.047	93.94519	2822.788	2564.0093	1000.0	243.6127	23.862938	329.52603	177.34065	60000	-1.27792354e-08	2777.252	-0.027167602	-355.70752	18.427376	0.010468162	0.1874	79.0	3709.3202130794525
12	2724.9155	54.49265	2807.7278	2659.3933	1000.0	242.13875	26.21865	325.4181	150.24522	65000	3.0517577e-09	2373.1885	-0.026547043	-49.34253	18.385214	0.015114781	0.1716	70.0	4087.3458240032196
13	2771.9214	21.389904	2805.3823	2741.9304	1000.0	241.75142	27.82402	314.22473	164.52309	70000	-5.531311e-09	3189.8923	-0.023240378	-346.69067	18.34493	0.01505231	0.1814	76.0	4466.469309329987
14	2732.244	46.6573	2785.8193	2645.0393	1000.0	237.97804	23.061249	306.48416	175.92703	75000	-1.7356873e-08	2762.8225	-0.009600231	-28.065674	18.47863	0.016861254	0.153	9.0	4858.208189249039
15	2721.4878	103.16904	2887.0254	2582.8406	1000.0	247.0851	22.617685	309.55136	188.7154	80000	1.0299683e-08	2649.9666	-0.024145119	-121.35718	18.444384	0.009201205	0.1562	79.0	5249.297824859619
16	2738.6602	67.27762	2848.038	2656.6084	1000.0	243.3081	21.398525	296.4329	194.63402	85000	-1.6784668e-08	2410.0005	-0.025322523	-47.929688	18.324144	0.013846761	0.183	79.0	5623.404766321182
17	2727.6924	45.061317	2804.5405	2667.995	1000.0	242.45815	22.285616	308.44818	179.45049	90000	-5.340576e-09	2514.1704	-0.028446063	-192.96777	18.525274	0.01057901	0.1922	79.0	6044.305164337158
