Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1139.2617	43.959145	1203.032	1070.3461	400.0	4999	18.632673	10.842777	41.383457	-0.71037996	18.59264	10.903982	41.601334	-1.2330276	-22.358755	0.742069	168.58759880065918
2	1136.3038	49.124878	1240.7397	1047.7897	400.0	9999	63.708977	16.527365	102.04399	30.18372	63.70872	16.524216	102.090256	30.230698	-68.67563	0.8017962	327.99918150901794
3	1337.4591	18.607874	1367.4594	1301.792	400.0	14999	105.2123	8.992295	133.56288	78.14998	105.21159	8.980721	133.40405	78.274086	-106.0658	1.0981119	498.64639472961426
4	1047.0153	392.80875	1310.3997	247.6998	346.2857	19999	128.55656	10.5096445	190.08678	63.13695	128.5568	10.488008	176.69116	63.34857	-129.55182	2.0339909	643.5245532989502
5	1032.2332	8.037908	1043.5739	1017.2536	400.0	24999	144.63553	14.940583	202.82722	50.041454	144.63638	14.931416	188.57156	48.958652	-145.70361	4.0251913	815.3237762451172
6	1037.6216	7.8905926	1052.9741	1025.2642	400.0	29999	157.10197	19.04986	212.45026	46.092438	157.10263	19.052977	201.22316	44.284424	-158.28	4.375283	985.6982550621033
7	1054.0281	67.4449	1268.326	999.66	400.0	34999	166.8294	22.968489	216.24934	43.835545	166.82965	22.979671	214.2108	40.59948	-168.12112	4.5555224	1160.3819832801819
8	639.17633	422.50482	1475.9236	282.7164	218.54546	39999	174.7255	26.619175	224.84624	21.04189	174.72688	26.628819	225.05168	25.472404	-176.0327	7.8725686	1352.003624677658
9	1265.0077	44.868843	1325.1049	1169.0385	400.0	44999	184.84383	27.816704	234.21567	4.3904476	184.84773	27.796392	233.35178	13.226501	-186.07684	8.655265	1528.1824946403503
10	1321.308	54.755074	1443.5597	1232.1674	400.0	49999	195.23137	28.831018	251.74223	-16.27248	195.23535	28.811436	247.77885	-5.0162873	-196.45892	7.693728	1718.7792837619781
11	1345.7642	87.761604	1485.8448	1239.7823	400.0	54999	204.99405	29.597075	271.77646	-30.873873	204.99895	29.573818	263.0048	-18.39822	-206.17557	7.770693	1903.2902958393097
12	1466.7977	20.113886	1491.5972	1428.7266	400.0	59999	216.07004	29.956345	291.61313	-32.90741	216.0742	29.936605	272.51822	-22.89931	-217.46056	8.072494	2087.7837443351746
13	1418.592	62.395702	1483.9388	1235.5657	400.0	64999	227.76183	29.3809	293.50446	-28.588263	227.76555	29.38818	277.20776	-18.414948	-229.07115	8.196517	2536.269111633301
14	1388.0693	58.815002	1435.9497	1251.1238	400.0	69999	237.10222	28.742302	300.1679	-15.61943	237.10452	28.759432	285.291	-10.469938	-238.41495	8.829742	2957.591377735138
15	1315.0377	66.38756	1408.4467	1197.7701	400.0	74999	245.06552	27.563494	302.32034	2.3312128	245.06734	27.589352	289.09308	5.3282194	-246.43808	10.33348	3312.464886188507
16	1134.9354	218.88527	1476.1282	887.5328	400.0	79999	251.71182	27.457373	307.9469	20.740744	251.71317	27.503902	299.66434	17.62753	-253.32892	12.042044	3669.951896429062
17	1268.1399	179.50217	1442.6788	1007.1606	400.0	84999	253.42613	28.724085	303.69507	24.858965	253.42812	28.767916	300.1626	21.079245	-254.93117	12.577613	4031.930346250534
18	1369.7577	39.19425	1436.8566	1281.3309	400.0	89999	260.59814	26.28563	304.80942	40.81872	260.5976	26.35489	301.40106	34.677097	-262.14767	12.821711	4390.470268249512
19	1332.6935	51.500324	1415.3889	1249.0269	400.0	94999	265.8098	24.790964	302.3425	46.90313	265.80927	24.87499	302.96155	38.27185	-267.01614	14.129505	4805.57026219368
20	1313.5236	57.019356	1414.4746	1244.3949	400.0	99999	271.05887	24.816074	308.0163	48.095516	271.05875	24.897589	308.49786	44.35819	-272.1888	13.860838	5202.682506322861
21	1207.546	132.0975	1428.2953	1010.1174	400.0	104999	274.59885	24.336123	312.23056	66.49286	274.5981	24.404802	314.69077	53.29653	-275.58826	13.902363	5635.258381843567
22	1183.2079	62.340603	1271.3243	1061.1672	400.0	109999	277.69366	24.525024	321.35922	99.80689	277.69308	24.611706	317.57617	82.246605	-278.48624	15.312047	6119.899149656296
23	1169.8433	139.10764	1442.0059	933.9499	400.0	114999	281.46417	25.746786	331.7082	130.73624	281.46317	25.81995	327.93958	116.71656	-282.98096	19.506468	6572.629119873047
24	835.03125	49.53672	911.0462	750.9992	400.0	119999	277.1868	29.52519	332.3196	17.1211	277.18686	29.516523	325.8188	37.646145	-278.90726	18.184	7060.739594221115
25	1004.2657	102.41959	1156.5874	808.8435	400.0	124999	273.4636	32.504498	312.32703	44.35155	273.4609	32.533306	314.1083	36.392975	-275.0948	17.759674	7454.100753068924
26	1085.5419	35.634598	1152.5605	1037.9961	400.0	129999	274.21954	36.91074	310.75992	38.90139	274.2171	36.95274	314.8705	30.688873	-275.59955	18.800716	7810.431273698807
27	1135.7252	84.01212	1337.1447	1049.4949	400.0	134999	272.46796	38.781395	309.98083	24.56471	272.46652	38.809956	311.29935	18.273224	-273.5392	18.812513	8168.999383449554
28	1199.2216	57.33009	1331.9792	1074.4141	400.0	139999	269.27377	38.54245	310.38074	17.777514	269.27542	38.562866	310.53876	14.964701	-270.30374	21.00445	8523.69929599762
29	1167.9916	41.590763	1256.6202	1074.5016	400.0	144999	266.23166	37.53276	314.03558	15.01234	266.23395	37.540367	308.52057	12.664116	-267.4145	17.534021	9583.507224798203
30	1220.1005	103.482544	1357.058	1004.906	400.0	149999	266.96332	34.67403	311.47824	40.50949	266.96692	34.680885	314.5419	36.24945	-267.73358	12.913426	11022.907467842102
31	1338.3313	64.23109	1422.6561	1226.83	400.0	154999	268.25253	33.306137	316.1023	56.00404	268.25446	33.32144	325.57788	45.893578	-269.89066	13.649984	12039.808474302292
32	1274.2863	35.694458	1345.9873	1225.9344	400.0	159999	268.70563	33.887756	320.08252	52.275555	268.70538	33.9157	327.53516	38.979248	-269.60416	12.763959	13160.622341156006
33	1198.0991	100.24231	1364.9652	1066.592	400.0	164999	268.6019	35.930363	326.78186	15.502586	268.601	35.94385	332.96426	24.03193	-269.29166	11.204486	13711.66886138916
34	1333.0436	111.07246	1522.1049	1179.9698	400.0	169999	267.73486	37.59536	331.42203	14.386673	267.7331	37.624615	332.90417	25.899393	-268.2785	12.664067	14181.432633161545
35	1354.6733	91.42667	1527.0947	1164.7166	400.0	174999	267.03177	37.42313	335.67313	20.386036	267.03018	37.459538	327.3674	31.447086	-267.4506	12.276633	14706.222069978714
36	1130.6339	38.253033	1202.7904	1056.1458	400.0	179999	265.1235	37.25561	331.23743	16.918266	265.12146	37.284073	324.08087	24.03813	-265.5585	13.743032	15182.862354516983
37	1233.4757	52.576508	1301.6443	1135.52	400.0	184999	261.679	35.026432	322.03546	28.889427	261.67804	35.04298	317.2942	33.24081	-261.914	13.355444	15590.252871751785
38	1265.3346	22.995668	1303.0084	1230.0583	400.0	189999	259.24417	33.268665	312.12354	54.962822	259.2449	33.280888	307.75485	53.736397	-259.68887	15.370387	16033.099642276764
39	1256.4435	21.51103	1287.2479	1217.1403	400.0	194999	258.31628	32.767124	307.73123	58.180096	258.3169	32.779457	304.49515	56.460487	-258.69724	11.142356	16500.953366994858
40	1180.4127	54.200264	1285.0244	1096.5872	400.0	199999	258.34296	32.28307	306.17282	62.403507	258.34357	32.30535	304.42676	61.033504	-258.7478	10.086486	16967.706773519516
41	1147.7518	67.40176	1240.164	1019.036	400.0	204999	256.66693	32.487965	309.45105	22.59811	256.66837	32.516872	306.04083	31.88277	-257.2899	10.521365	17443.92769098282
42	1337.111	171.80467	1503.5852	1061.909	400.0	209999	254.80113	33.29215	315.82623	19.349934	254.8005	33.329235	306.26016	21.169664	-255.41252	10.58788	17880.715952396393
43	1426.7329	55.980976	1473.2112	1285.8254	400.0	214999	254.83559	33.386337	320.81888	50.692215	254.83556	33.427616	310.19623	22.186056	-255.34703	11.220792	18315.806890010834
44	1404.5596	61.51937	1489.0774	1285.022	400.0	219999	254.48364	34.724937	324.97067	48.387817	254.4843	34.768757	314.6029	34.724026	-255.0891	11.1367855	18725.51688504219
45	1333.9369	84.26058	1465.4265	1229.1718	400.0	224999	254.10417	36.094048	328.5476	39.91336	254.10306	36.147797	317.22955	29.733898	-254.81952	12.883097	19117.75177884102
46	1438.7794	52.2679	1489.0527	1324.8457	400.0	229999	252.57613	38.13801	327.78064	43.115406	252.57507	38.196507	320.15576	17.652004	-253.1679	13.037738	19584.039357423782
47	1425.1757	28.404959	1465.8702	1367.0806	400.0	234999	251.89008	40.02331	324.81143	22.933826	251.89053	40.080696	323.2296	13.83594	-252.76077	14.053458	20029.178861141205
48	1231.278	122.045364	1488.423	1091.6659	400.0	239999	253.72426	40.78822	345.13464	23.45078	253.72601	40.845604	328.5151	7.9631004	-254.89584	15.006872	20466.849421977997
49	1208.8619	75.516624	1352.0419	1025.8403	400.0	244999	260.62256	40.84165	363.5352	18.12744	260.62228	40.897724	336.5295	9.112466	-261.8709	15.7970705	20870.53217792511
50	1216.4578	66.25052	1358.274	1073.508	400.0	249999	264.6053	41.001644	372.20987	39.697926	264.603	41.06273	341.92126	26.9267	-265.7923	16.536636	21257.10233783722
