Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	2626.9531	3.96763	2629.787	2619.1218	1000.0	0.11514829	0.011811221	0.13338867	0.0124367885	5000	-11.128969	57377.35	-519122700000.0	-5339.074	-1939.0044	2915844000000.0	133.30449724197388
1	2759.7847	1.5342194	2761.4294	2757.868	1000.0	12.12394	0.48235318	13.005315	11.095617	10000	-8.466748	57857.055	-213512320000.0	-3661.0234	-1944.6686	1315463500000.0	266.1396481990814
2	2831.7625	2.3866367	2834.252	2827.3706	1000.0	20.18765	0.11848436	20.366398	19.89399	15000	-6.1829057	57335.117	-116542460000.0	-2689.293	-1947.7692	986763360000.0	399.6291015148163
3	2885.5247	1.996669	2887.9304	2881.9763	1000.0	26.14603	0.056956057	26.228554	26.000925	20000	-4.943854	57006.99	-61225120000.0	-2484.0586	-1949.6704	578179240000.0	532.6172261238098
4	2886.4133	2.5531304	2891.1692	2883.9424	1000.0	31.669094	0.03374774	31.715755	31.580292	25000	-4.5799346	54565.176	-69954430000.0	-2298.7305	-1950.3348	598368060000.0	665.6420810222626
5	2860.484	1.2302154	2861.7815	2858.6501	1000.0	36.905933	0.022687076	36.93568	36.843307	30000	-4.899491	51207.438	-54789034000.0	-2118.0938	-1949.36	367357720000.0	798.8265376091003
6	2859.4038	1.3988593	2861.55	2857.9702	1000.0	41.90608	0.016807295	41.9275	41.858868	35000	-5.237431	49075.387	-46316855000.0	-2011.9219	-1949.22	287269500000.0	932.82714676857
7	2845.3687	2.1881955	2849.2363	2842.7122	1000.0	46.772446	0.0130049195	46.788517	46.7345	40000	-5.6873474	46541.293	-70316590000.0	-1900.8711	-1949.612	425920630000.0	1065.558584690094
8	2845.7417	1.0650291	2847.7095	2844.6162	1000.0	51.512157	0.0104546305	51.52481	51.48093	45000	-5.3813896	44648.96	-63120710000.0	-1824.1602	-1949.46	415009900000.0	1198.6126475334167
9	2873.486	0.8692492	2875.1006	2872.53	1000.0	56.168518	0.0087196315	56.17916	56.142612	50000	-4.80369	43858.152	-64615367000.0	-1799.3711	-1950.7968	473192100000.0	1331.713802576065
10	2893.5034	2.327759	2896.818	2889.886	1000.0	60.807144	0.0073465887	60.81617	60.78523	55000	-4.323712	42775.902	-49895660000.0	-1764.8633	-1951.7168	401700980000.0	1464.9580965042114
11	2929.0366	3.0911975	2934.8977	2926.1543	1000.0	65.41931	0.0062981774	65.42725	65.400764	60000	-3.4253702	42299.477	-45969930000.0	-1756.1484	-1952.9564	391021530000.0	1598.1888036727905
12	2959.073	1.9539764	2961.048	2955.8816	1000.0	70.035126	0.0054634213	70.04214	70.019226	65000	-2.7818177	41635.883	-40842007000.0	-1738.4688	-1953.778	410498860000.0	1731.0164964199066
13	2987.217	1.4233718	2988.685	2984.6826	1000.0	74.644615	0.0047693443	74.650856	74.63091	70000	-2.4843745	40894.258	-21126121000.0	-1717.1055	-1954.7316	233659810000.0	1864.2798399925232
14	3006.3416	1.5771381	3008.5435	3003.8862	1000.0	79.24198	0.004162318	79.2475	79.2301	75000	-2.1852343	39824.14	-20639818000.0	-1681.1016	-1955.2408	254231410000.0	1997.2158889770508
15	3021.345	2.6631637	3026.5479	3019.1604	1000.0	83.80848	0.0036567852	83.81341	83.79812	80000	-2.0582843	38657.496	-16567538000.0	-1638.7578	-1955.5507	239232040000.0	2130.608293056488
16	3027.0698	1.0023227	3028.388	3025.8525	1000.0	88.33529	0.0032186704	88.33963	88.32615	85000	-1.7749699	37224.23	-20423627000.0	-1582.7109	-1955.5402	309782450000.0	2263.742240190506
17	3043.7761	1.7811546	3045.119	3040.351	1000.0	92.80428	0.0028928323	92.808235	92.796196	90000	-1.5003023	36183.316	-9556172000.0	-1546.2617	-1955.9279	170929520000.0	2397.0926253795624
18	3048.2	2.6770568	3052.3281	3044.3894	1000.0	97.24055	0.0025857333	97.24412	97.23331	95000	-1.4523269	34762.4	-6969041400.0	-1492.4766	-1956.3574	168512320000.0	2530.65256524086
19	3051.7087	1.07853	3053.125	3049.996	1000.0	101.622215	0.002322535	101.62541	101.615715	100000	-1.5141367	33377.863	-5483625500.0	-1438.4648	-1956.5548	154876970000.0	2664.0933566093445
20	3064.1968	2.4631305	3066.9238	3059.8835	1000.0	105.94705	0.0021180662	105.950005	105.94121	105000	-1.2735164	32319.898	-6054380000.0	-1400.8398	-1956.5583	158356440000.0	2797.825800180435
21	3068.5525	1.7770249	3071.5935	3066.3599	1000.0	110.23786	0.0019357895	110.24054	110.23254	110000	-1.0436863	31058.787	-7020738000.0	-1352.3516	-1956.9044	192042090000.0	2930.694278717041
22	3061.5396	2.155573	3065.0012	3058.7075	1000.0	114.47995	0.0017501615	114.482346	114.47505	115000	-1.0653914	29493.66	-4819444000.0	-1287.8555	-1956.7092	129027090000.0	3064.576778650284
23	3061.2974	0.8625851	3062.7705	3060.1765	1000.0	118.647675	0.0016159209	118.64988	118.64317	120000	-1.3850793	28227.828	-6304044000.0	-1235.4824	-1956.2976	163345370000.0	3197.806582212448
24	3057.9548	0.9173641	3059.3708	3056.7874	1000.0	122.756775	0.0014827036	122.75878	122.752556	125000	-1.1962316	26894.516	-6908034000.0	-1181.3223	-1956.2607	189977740000.0	3331.2863204479218
25	3058.3433	1.1530715	3059.694	3056.2212	1000.0	126.804276	0.0013790489	126.806145	126.80038	130000	-1.0557648	25725.238	-6479759400.0	-1134.457	-1956.4572	178102170000.0	3464.2941012382507
26	3069.6704	1.7481234	3072.0408	3068.1187	1000.0	130.80016	0.0012915353	130.80193	130.79654	135000	-0.97523046	24886.133	-5612676000.0	-1105.2285	-1956.6332	151200860000.0	3597.4977927207947
27	3073.1052	1.1153425	3074.0554	3071.1184	1000.0	134.77315	0.001207115	134.7748	134.76974	140000	-0.6823945	23875.703	-4935901000.0	-1065.8789	-1956.6228	149410230000.0	3730.612401008606
28	3069.8271	4.5003033	3077.3933	3065.8525	1000.0	138.7069	0.001122685	138.70842	138.70369	145000	-1.2391949	22737.879	-3588821500.0	-1017.3867	-1956.2888	92998460000.0	3863.8729441165924
29	3073.3882	4.3959236	3077.1648	3066.309	1000.0	142.58275	0.0010508425	142.58417	142.57973	150000	-0.9268156	21810.252	-4720431000.0	-979.71094	-1956.6075	133937830000.0	3997.4262998104095
30	3078.4917	1.5757856	3080.6206	3076.258	1000.0	146.41737	0.0009918242	146.41876	146.41454	155000	-0.8380707	20953.424	-3966802400.0	-945.5957	-1956.9384	107793695000.0	4131.6791343688965
31	3092.592	1.0004882	3094.219	3091.1687	1000.0	150.21707	0.0009385887	150.2184	150.21443	160000	-0.66379726	20329.771	-2444450600.0	-924.81836	-1957.0432	74485810000.0	4264.825873374939
32	3097.575	3.6874676	3102.247	3092.1294	1000.0	154.00626	0.00088343763	154.00749	154.00372	165000	-0.97040117	19513.803	-1634032100.0	-892.2051	-1957.3412	65367310000.0	4397.805827617645
33	3096.3403	1.4984655	3098.155	3094.4258	1000.0	157.76257	0.00084160216	157.76372	157.76016	170000	-0.8098016	18603.057	-2018663200.0	-851.0957	-1957.3716	64401215000.0	4531.8219974040985
34	3091.4324	2.9739606	3097.1782	3089.0466	1000.0	161.46588	0.00078892754	161.467	161.46358	175000	-0.8644785	17653.605	-2012391200.0	-805.959	-1957.3948	51245000000.0	4665.155910730362
35	3090.909	5.112959	3097.706	3082.8423	1000.0	165.10446	0.00073349965	165.10548	165.10226	180000	-0.6502473	16835.514	-3570147000.0	-768.10254	-1957.082	107861615000.0	4798.130360841751
36	3074.121	3.7349508	3080.3096	3069.7676	1000.0	168.6907	0.0006917166	168.69164	168.68858	185000	-0.84817386	15769.338	-4947042300.0	-710.9326	-1956.694	139569920000.0	4931.336206674576
37	3055.7368	3.5716178	3062.3225	3052.6045	1000.0	172.17932	0.0006586136	172.1802	172.1773	190000	-1.4174918	14748.235	-7756656600.0	-653.63184	-1956.1978	188835280000.0	5064.4214243888855
38	3028.9521	1.2839341	3030.843	3027.294	1000.0	175.56128	0.0006245001	175.56209	175.55933	195000	-1.5145515	13662.483	-8651198000.0	-589.2207	-1955.8602	169301180000.0	5197.435009002686
